,Frequency,CustGender,CustAccountBalance,Monetary,CustomerAge,Recency,Cluster
519,1,1,8112.0,28.0,33.0,306,1
520,1,1,91155.88,337.34,26.0,306,2
521,1,0,4955.63,824.0,25.0,306,3
522,1,1,3003.03,275.0,28.0,306,0
523,1,1,34047.25,270.0,25.0,306,0
524,1,1,14115.0,200.0,31.0,306,1
525,1,1,4546.31,635.0,28.0,306,0
526,1,1,34678.51,500.0,24.0,306,0
527,1,1,5374.42,300.0,29.0,306,0
528,1,1,152.94,229.0,34.0,306,1
529,1,0,19801.93,160.0,30.0,306,3
530,1,1,45299.78,53.0,20.0,306,0
531,1,0,36585.6,818.0,34.0,306,3
532,1,0,11650.66,22.0,27.0,306,3
533,1,0,16697.98,1129.0,27.0,306,3
534,1,1,79391.47,147.0,29.0,306,2
535,1,0,10977.92,60.0,25.0,306,3
536,1,1,474.43,18.0,29.0,306,0
537,1,1,14681.31,305.0,22.0,306,0
538,1,1,12330.03,141.0,24.0,306,0
539,1,1,24114.4,1910.0,30.0,306,4
540,1,1,65702.13,1020.91,40.0,306,2
541,1,0,8090.68,390.0,27.0,306,3
542,1,0,26573.95,250.0,25.0,306,3
543,1,1,15609.73,300.0,27.0,306,0
544,1,1,22517.98,6.0,35.0,306,1
545,1,1,26188.93,200.0,27.0,306,0
546,1,0,30115.87,1.0,24.0,306,3
547,1,1,5799.72,220.0,24.0,306,0
548,1,0,12084.49,400.0,33.0,306,3
549,1,1,4443.41,20.0,24.0,306,0
550,1,1,103674.8,768.0,28.0,306,2
551,1,1,12007.63,1000.0,27.0,306,4
552,1,0,20673.83,1530.0,29.0,306,4
553,1,1,6032.98,335.0,24.0,306,0
554,1,1,96426.99,93.0,22.0,306,2
555,1,1,252.85,599.0,28.0,306,0
556,1,1,52734.99,1000.0,33.0,306,2
557,1,0,18770.39,209.0,31.0,306,3
558,1,1,117.34,1855.0,28.0,306,4
559,1,1,5426.51,581.9,22.0,306,0
560,1,0,136024.09,259.0,31.0,306,2
561,1,1,5309.98,625.0,27.0,306,0
562,1,1,1769.75,3.0,26.0,306,0
563,1,0,58086.64,500.0,28.0,306,3
564,1,1,27305.51,512.0,26.0,306,0
565,1,1,167.02,528.0,33.0,306,1
566,1,0,8815.37,1495.0,20.0,306,3
567,1,1,5119.43,199.0,23.0,306,0
568,1,1,15698.67,650.0,33.0,306,1
569,1,1,5424.53,300.0,29.0,306,0
570,1,0,86037.46,462.65,39.0,306,2
571,1,1,22962.16,330.0,36.0,306,1
572,1,1,1216.77,50.0,38.0,306,1
573,1,1,4446.31,500.0,26.0,306,0
574,1,1,6783.79,1734.0,25.0,306,4
575,1,0,77627.41,471.5,29.0,306,2
576,1,1,5314.74,265.0,29.0,306,0
577,1,0,46797.34,650.0,27.0,306,3
578,1,1,442.93,500.0,25.0,306,0
579,1,1,95317.65,795.0,31.0,306,2
580,1,1,6716.07,600.0,26.0,306,0
581,1,1,39663.31,499.0,36.0,306,1
582,1,1,4619.11,2027.39,29.0,306,4
583,1,1,16722.05,700.0,41.0,306,1
584,1,1,0.65,500.0,28.0,306,0
585,1,1,3337.29,265.0,25.0,306,0
586,1,1,33969.57,200.0,20.0,306,0
587,1,0,1737.55,40.0,25.0,306,3
588,1,1,30332.07,1000.0,30.0,306,4
589,1,1,38395.83,2191.0,25.0,306,4
590,1,1,16554.35,334.0,23.0,306,0
591,1,0,6329.55,180.0,29.0,306,3
592,1,1,129919.02,499.0,39.0,306,2
593,1,1,12539.92,1100.0,23.0,306,0
594,1,1,9444.14,500.0,25.0,306,0
595,1,1,46354.29,1699.0,36.0,306,4
596,1,1,4928.97,1716.0,26.0,306,4
597,1,1,13160.62,150.0,31.0,306,1
598,1,0,35758.0,1500.0,39.0,306,4
599,1,1,3095.54,150.0,32.0,306,1
600,1,1,50971.83,79.99,25.0,306,0
